DateTime,CustomerID,AgeGroup,Gender,Country,ProductCategory,CampaignID,AdPlatform,Impressions,Clicks,Conversions,ConversionValue
30-10-2023 22:00,6740,35-44,Female,France,Smartphones,123,Twitter,6,0,0,0
5/2/2023 20:00,5457,18-24,Other,Australia,Laptops,155,Google,1,0,0,0
13-08-2023 14:00,3063,18-24,Other,Australia,Wearables,190,Twitter,3,1,0,0
5/8/2023 7:00,2977,45-54,Other,Canada,Smartphones,154,Facebook,5,1,1,489
27-08-2023 22:00,9567,55+,Male,Germany,Laptops,153,Facebook,3,1,1,181
19-09-2023 01:00,9933,35-44,Other,Germany,Laptops,102,Facebook,3,1,0,0
20-01-2023 10:00,3667,55+,Female,Germany,Laptops,175,Instagram,5,1,0,0
4/7/2023 10:00,5919,45-54,Male,Australia,Accessories,146,Facebook,8,1,0,0
21-08-2023 10:00,9609,25-34,Other,UK,Smartphones,129,Twitter,8,1,0,0
13-12-2023 18:00,8642,18-24,Female,Canada,Wearables,175,Google,8,0,0,0
12/3/2023 5:00,9798,45-54,Other,Australia,Wearables,140,Twitter,6,0,0,0
2/2/2023 1:00,9759,35-44,Female,USA,Laptops,154,Facebook,9,0,0,0
17-10-2023 13:00,1543,45-54,Female,Australia,Wearables,158,Twitter,5,1,1,331
12/4/2023 9:00,1883,35-44,Other,Germany,Laptops,139,Google,7,1,0,0
10/8/2023 7:00,5798,25-34,Other,Canada,Accessories,144,Instagram,1,1,1,347
30-07-2023 11:00,9040,55+,Male,USA,Laptops,121,Facebook,4,1,1,67
25-09-2023 12:00,6718,35-44,Other,Canada,Smartphones,114,Instagram,1,0,0,0
19-02-2023 08:00,3068,18-24,Female,UK,Smartphones,191,Google,2,1,1,305
9/7/2023 19:00,8478,35-44,Male,Germany,Laptops,116,Twitter,6,1,0,0
22-05-2023 01:00,9120,25-34,Female,France,Home Entertainment,158,Twitter,1,1,0,0
24-09-2023 12:00,8820,18-24,Female,Australia,Smartphones,124,Facebook,9,1,0,0
28-12-2023 02:00,2786,25-34,Other,Germany,Wearables,142,Facebook,6,0,0,0
17-04-2023 14:00,6715,25-34,Female,Germany,Home Entertainment,163,Facebook,8,0,0,0
